Name,GUID,Description,Status,CreationTime,ModificationTime,Version,LinkedTo,SecurityFiltering,WMIFiltering,ComputerSettings,UserSettings,_DiscoveryTimestamp,_DiscoveryModule,_SessionId
Default Domain Policy,{31B2F340-016D-11D2-945F-00C04FB984F9},Default domain policy,Enabled,2023-01-01 00:00:00,2025-08-15 14:30:00,16,contoso.com,Authenticated Users,,Password Policy;Account Lockout Policy;Kerberos Policy,None,2025-08-19 10:30:00,GPODiscovery,SES-20250819-001
Default Domain Controllers Policy,{6AC1786C-016F-11D2-945F-00C04FB984F9},Default domain controllers policy,Enabled,2023-01-01 00:00:00,2025-08-10 11:20:00,8,Domain Controllers OU,Domain Controllers,,User Rights Assignment;Audit Policy,None,2025-08-19 10:30:00,GPODiscovery,SES-20250819-001
Corporate Security Policy,{A12B3456-C789-4DEF-0123-456789ABCDEF},Enterprise security settings,Enabled,2023-02-15 10:30:00,2025-08-18 16:45:00,23,contoso.com,Authenticated Users,Windows 10 Filter,Windows Update Settings;Firewall Rules;Security Options,Desktop Wallpaper;Screen Saver,2025-08-19 10:30:00,GPODiscovery,SES-20250819-001
IT Department Policy,{B23C4567-D890-5EF0-1234-56789ABCDEF0},IT-specific configuration,Enabled,2023-03-01 09:15:00,2025-08-17 13:25:00,18,IT OU,IT Administrators,IT Workstations Filter,Software Installation;Registry Settings,Administrative Templates;Folder Redirection,2025-08-19 10:30:00,GPODiscovery,SES-20250819-001
Password Policy Enhancement,{C34D5678-E901-6F01-2345-6789ABCDEF01},Enhanced password requirements,Enabled,2023-04-10 14:20:00,2025-08-16 10:15:00,12,contoso.com,Domain Users,,Password Policy;Account Lockout Policy,None,2025-08-19 10:30:00,GPODiscovery,SES-20250819-001
Software Deployment Policy,{D45E6789-F012-7012-3456-789ABCDEF012},Automated software deployment,Enabled,2023-05-20 11:45:00,2025-08-15 12:30:00,15,Workstations OU,Domain Computers,Windows 10/11 Filter,Software Installation;Scripts,None,2025-08-19 10:30:00,GPODiscovery,SES-20250819-001
User Desktop Configuration,{E56F7890-0123-8123-4567-89ABCDEF0123},Standard user desktop settings,Enabled,2023-06-05 16:10:00,2025-08-14 14:50:00,21,Users OU,Domain Users,,None,Administrative Templates;Desktop Settings,2025-08-19 10:30:00,GPODiscovery,SES-20250819-001
Printer Policy,{F6708901-1234-9234-5678-9ABCDEF01234},Network printer deployment,Enabled,2023-07-15 08:30:00,2025-08-13 09:40:00,9,contoso.com,Authenticated Users,,Printer Connections,Printer Connections,2025-08-19 10:30:00,GPODiscovery,SES-20250819-001
VPN Access Policy,{07819012-2345-A345-6789-ABCDEF012345},VPN configuration and access,Enabled,2023-08-01 12:15:00,2025-08-12 15:20:00,14,VPN Users OU,VPN Users,VPN Capable Devices,Network Settings;VPN Client Config,None,2025-08-19 10:30:00,GPODiscovery,SES-20250819-001
Server Security Policy,{18920123-3456-B456-789A-BCDEF0123456},Server hardening policy,Enabled,2023-09-10 13:40:00,2025-08-11 11:05:00,17,Servers OU,Domain Controllers;Member Servers,Server OS Filter,Security Options;Audit Policy;User Rights,None,2025-08-19 10:30:00,GPODiscovery,SES-20250819-001
