IndicatorType,Value,ThreatType,Severity,Source,Campaign,MitreTactic,MitreTechnique,Description,FirstSeen,LastSeen,ConfidenceScore,IOCs,RecommendedActions,Status,IsActive
IP,192.168.100.50,Malware C2,High,Internal Network Monitoring,APT29,Command and Control,T1071.001,Suspicious outbound connections to known C2 server,2024-03-20T14:30:00Z,2024-03-25T09:15:00Z,85,"IP: 192.168.100.50, Port: 443",Block IP at firewall; investigate affected systems,Active,True
Hash,a1b2c3d4e5f6g7h8i9j0k1l2m3n4o5p6,Ransomware,Critical,Antivirus Detection,Ryuk,Impact,T1486,Ransomware executable detected on multiple systems,2024-03-23T08:45:00Z,2024-03-25T07:30:00Z,95,"Hash: a1b2c3d4e5f6g7h8i9j0k1l2m3n4o5p6",Isolate affected systems; run full antivirus scan,Under Investigation,True
Domain,malicious-site.com,Phishing,Medium,Email Security Gateway,Generic Phishing,Initial Access,T1566.002,Phishing domain used in email campaigns,2024-03-24T16:20:00Z,2024-03-24T22:10:00Z,78,"Domain: malicious-site.com",Block domain at DNS level; user awareness training,Resolved,False
URL,http://bad-download.net/payload.exe,Malware Distribution,High,Web Proxy Logs,Generic Malware,Initial Access,T1204.002,URL hosting malicious payload,2024-03-22T11:15:00Z,2024-03-25T03:45:00Z,82,"URL: http://bad-download.net/payload.exe",Block URL; scan systems that accessed it,Active,True
Email,attacker@fake-bank.com,Business Email Compromise,High,Email Security Gateway,BEC Campaign,Initial Access,T1566.001,Spoofed email from fake financial institution,2024-03-21T13:50:00Z,2024-03-24T19:25:00Z,88,"Email: attacker@fake-bank.com",Block sender; review email security rules,Active,True
File,invoice.pdf.exe,Trojan,Medium,Endpoint Detection,Generic Trojan,Execution,T1204.002,Executable masquerading as PDF document,2024-03-19T09:30:00Z,2024-03-25T06:20:00Z,75,"File: invoice.pdf.exe",Delete file; scan affected systems,Mitigated,False
IP,203.0.113.42,DDoS Source,Low,Network Monitoring,DDoS Botnet,Impact,T1498,Source IP participating in DDoS attack,2024-03-18T22:10:00Z,2024-03-19T02:45:00Z,65,"IP: 203.0.113.42",Block IP; monitor for additional attacks,Resolved,False
Hash,9f8e7d6c5b4a39281746e5d4c3b2a190,Credential Stealer,High,Threat Intelligence Feed,Emotet,Credential Access,T1555,Known credential harvesting malware,2024-03-25T05:15:00Z,2024-03-25T05:15:00Z,92,"Hash: 9f8e7d6c5b4a39281746e5d4c3b2a190",Search for hash in environment; change compromised credentials,Active,True
Domain,secure-update.badsite.org,Watering Hole,Medium,DNS Monitoring,Targeted Attack,Initial Access,T1189,Compromised legitimate-looking domain,2024-03-20T17:40:00Z,2024-03-24T14:35:00Z,70,"Domain: secure-update.badsite.org",Block domain; investigate access logs,Active,True
Registry,HKEY_CURRENT_USER\Software\BadSoft,Persistence Mechanism,Medium,Endpoint Detection,Generic Persistence,Persistence,T1547.001,Malicious registry entry for persistence,2024-03-23T12:20:00Z,2024-03-25T08:10:00Z,80,"Registry: HKEY_CURRENT_USER\Software\BadSoft",Remove registry entry; scan for additional artifacts,Active,True
Process,svchost.exe (PID: 1337),Process Injection,High,EDR Alert,Living off the Land,Defense Evasion,T1055,Suspicious svchost.exe process with unusual network activity,2024-03-24T20:30:00Z,2024-03-25T01:25:00Z,87,"Process: svchost.exe, PID: 1337",Investigate process; check parent/child relationships,Under Investigation,True
Network,10.0.0.0/8 -> 8.8.8.8,DNS Tunneling,Medium,Network Analysis,Data Exfiltration,Command and Control,T1071.004,Suspicious DNS queries indicating data exfiltration,2024-03-22T14:15:00Z,2024-03-25T04:30:00Z,73,"Traffic: 10.0.0.0/8 -> 8.8.8.8",Monitor DNS traffic; block suspicious queries,Active,True
Certificate,CN=FakeCert Authority,Rogue Certificate,High,Certificate Monitoring,Certificate Abuse,Defense Evasion,T1553.004,Unauthorized certificate authority detected,2024-03-21T10:45:00Z,2024-03-24T16:20:00Z,85,"Certificate: CN=FakeCert Authority",Revoke certificate; update certificate policies,Mitigated,False
PowerShell,Invoke-Expression (New-Object,PowerShell Attack,High,PowerShell Logging,Fileless Malware,Execution,T1059.001,Suspicious PowerShell command execution,2024-03-25T07:45:00Z,2024-03-25T07:45:00Z,90,"Command: Invoke-Expression (New-Object",Block PowerShell execution; investigate user account,Active,True
User Account,service_account@contoso.com,Compromised Account,Critical,Authentication Logs,Credential Stuffing,Initial Access,T1110.004,Service account showing signs of compromise,2024-03-24T11:30:00Z,2024-03-25T02:15:00Z,95,"Account: service_account@contoso.com",Reset password; review account permissions; enable MFA,Active,True
