"Severity","Category","File","Line","Message","Recommendation","Impact"
"WARN","ErrorHandling","C:\UserMigration\Modules\Discovery\ActiveDirectoryDiscovery.psm1","1159","Function 'ConvertTo-DNSRecordObject' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"ERROR","General","C:\UserMigration\Modules\Discovery\ActiveDirectoryDiscovery.psm1","0","Failed to process module: parsing ""\"" - Illegal \ at end of pattern.","","Module cannot be validated"
"WARN","ErrorHandling","C:\UserMigration\Modules\Discovery\AzureDiscovery.psm1","90","Function 'Write-AzureLog' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"ERROR","General","C:\UserMigration\Modules\Discovery\AzureDiscovery.psm1","0","Failed to process module: parsing ""\"" - Illegal \ at end of pattern.","","Module cannot be validated"
"WARN","ErrorHandling","C:\UserMigration\Modules\Discovery\DiscoveryModuleBase.psm1","129","Function 'EndOperation' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"WARN","ErrorHandling","C:\UserMigration\Modules\Discovery\DiscoveryModuleBase.psm1","310","Function 'Calculate-BackoffDelay' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"WARN","ErrorHandling","C:\UserMigration\Modules\Discovery\DiscoveryModuleBase.psm1","369","Function 'Write-MandALog' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"WARN","ErrorHandling","C:\UserMigration\Modules\Discovery\DiscoveryModuleBase.psm1","410","Function 'Invoke-ProgressAwareBatch' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"WARN","ErrorHandling","C:\UserMigration\Modules\Discovery\DiscoveryModuleBase.psm1","610","Function 'Export-DiscoveryData' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"ERROR","General","C:\UserMigration\Modules\Discovery\DiscoveryModuleBase.psm1","0","Failed to process module: parsing ""\"" - Illegal \ at end of pattern.","","Module cannot be validated"
"WARN","ErrorHandling","C:\UserMigration\Modules\Discovery\EnvironmentDetectionDiscovery.psm1","594","Function 'Initialize-EnvironmentInfo' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"WARN","ErrorHandling","C:\UserMigration\Modules\Discovery\EnvironmentDetectionDiscovery.psm1","869","Function 'Determine-EnvironmentType' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
"WARN","ErrorHandling","C:\UserMigration\Modules\Discovery\EnvironmentDetectionDiscovery.psm1","898","Function 'Write-EnvironmentSummary' lacks error handling","Add try-catch blocks for robust error handling","Unhandled exceptions may crash discovery process"
